trial,ucs_nodes,ucs_frontier,ucs_time,ucs_path_len,astar_nodes,astar_frontier,astar_time,astar_path_len
0,38,7,0.00010819989256560802,10,16,8,5.370005965232849e-05,10
1,57,7,0.000130099942907691,15,30,7,7.71000050008297e-05,15
2,45,7,0.00010329997166991234,12,23,13,5.959998816251755e-05,12
3,56,10,0.00012860004790127277,15,28,8,7.119984365999699e-05,15
4,51,8,0.00011690007522702217,13,24,8,6.0999998822808266e-05,13
5,39,5,8.699996396899223e-05,12,24,6,5.910010077059269e-05,12
6,41,7,9.9200289696455e-05,10,19,9,4.859990440309048e-05,10
7,35,8,8.150003850460052e-05,7,12,9,3.3899908885359764e-05,7
8,76,10,0.0001692997757345438,20,43,14,0.00011799996718764305,20
9,70,7,0.00016149994917213917,16,30,11,8.459994569420815e-05,16
