trial,ucs_nodes,ucs_frontier,ucs_time,ucs_path_len,astar_nodes,astar_frontier,astar_time,astar_path_len
0,38,7,0.00011019990779459476,10,16,8,5.6800199672579765e-05,10
1,57,7,0.00013020006008446217,15,30,7,7.770000956952572e-05,15
2,45,7,0.00010289973579347134,12,23,13,6.13001175224781e-05,12
3,56,10,0.0001297001726925373,15,28,8,7.200008258223534e-05,15
4,51,8,0.00011579995043575764,13,24,8,7.54999928176403e-05,13
5,39,5,8.910009637475014e-05,12,24,6,5.979998968541622e-05,12
6,41,7,9.610014967620373e-05,10,19,9,4.959991201758385e-05,10
7,35,8,8.270028047263622e-05,7,12,9,3.4400029107928276e-05,7
8,76,10,0.00017220014706254005,20,43,14,0.00011419993825256824,20
9,70,7,0.00015700003132224083,16,30,11,8.179992437362671e-05,16
